127.0.0.1 - - [17/Oct/2022:20:57:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:30 +0530] "GET /Bank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:33 +0530] "GET /Bank/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:35 +0530] "GET /Bank/allUsers.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:39 +0530] "GET /Bank/allUsers.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:42 +0530] "GET /Bank/viewprofile.jsp?email=agrawalayushi086@gmail.com HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:44 +0530] "GET /Bank/viewprofile.jsp?email=maya@123 HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:52 +0530] "GET /Bank/transcation HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:57:55 +0530] "GET /Bank/newuser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:58:13 +0530] "POST /Bank/userSignup.jsp HTTP/1.1" 500 318
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:58:15 +0530] "GET /Bank/allUsers.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:58:18 +0530] "GET /Bank/allUsers.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:58:20 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:58:21 +0530] "GET /Bank/sendmoney.html?email=tina@123 HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [17/Oct/2022:20:58:31 +0530] "POST /Bank/money.jsp HTTP/1.1" 500 208
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:25:32 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:25:33 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:25:33 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:25:33 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:25:43 +0530] "POST /Bank/money.jsp HTTP/1.1" 500 124
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:26:54 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:26:55 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:26:55 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:27:03 +0530] "POST /Bank/money.jsp HTTP/1.1" 500 295
0:0:0:0:0:0:0:1 - - [17/Oct/2022:21:36:01 +0530] "GET /Bank/viewprofile.jsp?email=tina@123 HTTP/1.1" 200 1531
